fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1627,printed,Lectura super titulo De actionibus institutionum,0,Latin,1475,1475,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45979,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1628,printed,Ινστιτουτιωνες,0,Greek; Latin,1536,1536,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45982,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1629,printed,Topicoru[m] seu de locis legalibus liber,0,Latin,1516,1516,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45984,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1630,printed,"Isagoge, id est introductio in dialecticen. Opera omnia, quae pertinent ad inventionem et judicationem dialecticae",0,Latin,1554,1554,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_45986,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1631,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,0,Latin,1631,1631,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45987,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1632,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,"Editio altera, emendatior & indicibus auctior",Latin,1632,1632,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45989,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1633,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,"Editio tertia, emendatior & indicibus auctior",Latin,1640,1640,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45990,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1634,printed,Paratitla sive Summaria et methodica explicatio Decretalium D. Gregorii Papae IX,"Editio quarta & ultima, post tres Lovanienses",Latin,1640,1640,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45991,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1635,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,Editio emendatior,Latin,1642,1642,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45992,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1636,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,"Editio quarta, emendatior & indicibus auctior",Latin,1649,1649,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45994,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1637,printed,Paratitla sive Summaria et methodica explicatio decretalium D. Gregorii papae IX,"Editio quinta, emendatior & indicibus auctior",Latin,1658,1658,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45995,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1638,printed,"Paratitla, sive Svmmaria et methodica explicatio decretalivm D. Gregorii papae IX","Editio vltima, a pluribus, quibus antè scatebat, mendis purgata",Latin,1682,1682,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_45996,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1639,printed,"Paratitla Iuris Canonici, Sive Decretalium Greg. Papae IX. Summaria Ac Methodica Explicatio",Editio nova a mendis purgata/Opus omnibus tam in schola quam in foro versantibus utilißimum ,Latin,1651,1651,0,0,0,0,4o,737,0,http://www.odis.be/lnk/en/PB_45997,<p>Canon Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
